gene,edge,net
K00287,5402,ko01100
K00287,5403,ko01100
K13939,5404,ko01100
K13939,5386,ko01100
K00601,5412,ko01100
K00288,5413,ko01100
K00288,5414,ko01100
K25009,5406,ko01100
K00600,5411,ko01100
K01934,5410,ko01100
K00603,5409,ko01100
K01746,5407,ko01100
K00603,5408,ko01100
"NA",4386,ko01100
K07249,4387,ko01100
K00515,4388,ko01100
K13951,4389,ko01100
K00643,983,ko01100
K01698,5193,ko01100
K01749,5195,ko01100
K01719,1029,ko01100
K01599,2929,ko01100
K00228,2930,ko01100
K00231,2931,ko01100
K01772,2932,ko01100
K03403,2933,ko01100
K03428,2934,ko01100
K19073,2936,ko01100
K00218,2937,ko01100
K04040,2938,ko01100
K00589,2939,ko01100
K02302,4204,ko01100
K02302,4205,ko01100
K03394,4203,ko01100
K02229,4194,ko01100
K05934,4195,ko01100
K05936,4196,ko01100
K02228,4197,ko01100
K05895,4198,ko01100
K00595,4199,ko01100
K06042,4200,ko01100
K02224,4201,ko01100
K02230,4202,ko01100
K13786,4218,ko01100
K00798,2940,ko01100
K02232,1893,ko01100
K02225,2941,ko01100
K02231,2942,ko01100
K02231,2943,ko01100
K02226,2944,ko01100
K00768,2945,ko01100
K01845,808,ko01100
K02492,2947,ko01100
K01885,1025,ko01100
K02233,1953,ko01100
K02227,2948,ko01100
K01851,6042,ko01100
K02551,6040,ko01100
K08680,2949,ko01100
K02549,2950,ko01100
K01911,2951,ko01100
K01661,2952,ko01100
K12073,2953,ko01100
K23094,5242,ko01100
K03181,1575,ko01100
K03183,5243,ko01100
K17872,5244,ko01100
K12929,213,ko01100
K12927,4705,ko01100
K12927,2596,ko01100
"NA",2597,ko01100
K04120,4703,ko01100
K12921,4704,ko01100
K14039,2598,ko01100
K12922,2599,ko01100
"NA",2600,ko01100
K12926,2601,ko01100
"NA",2603,ko01100
K04121,2604,ko01100
K04122,2605,ko01100
K04123,4700,ko01100
K05282,4698,ko01100
K05282,2606,ko01100
K05282,2607,ko01100
K12925,2608,ko01100
K07384,2609,ko01100
K15098,2610,ko01100
"NA",2611,ko01100
"NA",2612,ko01100
K07385,2590,ko01100
K15088,2591,ko01100
K15096,2592,ko01100
K01757,818,ko01100
K12693,3748,ko01100
"NA",3750,ko01100
"NA",2910,ko01100
"NA",3740,ko01100
"NA",3741,ko01100
"NA",3742,ko01100
"NA",3743,ko01100
K00791,2615,ko01100
K10760,1706,ko01100
K10717,1717,ko01100
K02291,212,ko01100
K10027,2618,ko01100
K10027,2619,ko01100
K10027,2620,ko01100
K10027,2621,ko01100
K06443,2622,ko01100
K06444,2623,ko01100
K06444,2624,ko01100
K06443,2625,ko01100
K15746,1724,ko01100
K09837,2626,ko01100
K06443,2627,ko01100
K09838,4381,ko01100
K09840,4382,ko01100
K09841,4383,ko01100
K09842,4384,ko01100
K14595,4385,ko01100
K00559,2384,ko01100
K14423,2385,ko01100
K23558,2386,ko01100
"NA",2387,ko01100
K00222,2388,ko01100
K00227,2391,ko01100
K00213,2392,ko01100
K09828,2393,ko01100
K09591,541,ko01100
"NA",2629,ko01100
K09587,2630,ko01100
K12637,2631,ko01100
K09589,2632,ko01100
K20623,2633,ko01100
K09590,2634,ko01100
K09590,2635,ko01100
K09587,2637,ko01100
K12637,2638,ko01100
K09589,2639,ko01100
K20623,2640,ko01100
K12640,2641,ko01100
K01904,2004,ko01100
K09753,2642,ko01100
K01904,4405,ko01100
K09753,1742,ko01100
K00083,1744,ko01100
K00430,1745,ko01100
K09754,1719,ko01100
"NA",1746,ko01100
K01904,4419,ko01100
K13066,4431,ko01100
K00588,4420,ko01100
K01904,4421,ko01100
K09753,4422,ko01100
K00083,4439,ko01100
K00430,4440,ko01100
K09755,4432,ko01100
"NA",4423,ko01100
K09755,4441,ko01100
K01904,4424,ko01100
K09753,4425,ko01100
K13066,4433,ko01100
K00588,4426,ko01100
K13066,4442,ko01100
K01904,4427,ko01100
K09753,4428,ko01100
K00083,4443,ko01100
K00430,4444,ko01100
K00660,4406,ko01100
K01859,4407,ko01100
K00475,1743,ko01100
K13082,4458,ko01100
K05277,4459,ko01100
K13077,4409,ko01100
K05280,4710,ko01100
K05278,4462,ko01100
K05278,1740,ko01100
K05280,4408,ko01100
K05280,4463,ko01100
K10757,4773,ko01100
"NA",5123,ko01100
K12930,5121,ko01100
K13382,2643,ko01100
K13383,5177,ko01100
K13384,2644,ko01100
K13385,1986,ko01100
K13386,5824,ko01100
K22093,5825,ko01100
K22093,5826,ko01100
K13391,5827,ko01100
K13392,5828,ko01100
K13393,5829,ko01100
K01742,5830,ko01100
K13394,1032,ko01100
K00307,5823,ko01100
K21070,5847,ko01100
K13395,5848,ko01100
K13396,5849,ko01100
K21692,5850,ko01100
K21693,5851,ko01100
"NA",5852,ko01100
"NA",5853,ko01100
"NA",5838,ko01100
"NA",5839,ko01100
"NA",5840,ko01100
"NA",5841,ko01100
K05353,1987,ko01100
K00276,2645,ko01100
"NA",2646,ko01100
"NA",2647,ko01100
K08081,2648,ko01100
"NA",2649,ko01100
K12692,2650,ko01100
"NA",2651,ko01100
"NA",1988,ko01100
"NA",336,ko01100
K01582,2652,ko01100
"NA",2653,ko01100
"NA",2654,ko01100
"NA",2655,ko01100
K12729,5364,ko01100
"NA",5348,ko01100
K12730,5363,ko01100
K12731,5380,ko01100
"NA",5381,ko01100
K21722,5382,ko01100
K21723,5366,ko01100
K21723,5385,ko01100
K21722,5365,ko01100
K07409,5355,ko01100
K00622,5383,ko01100
K07409,70,ko01100
K07409,5384,ko01100
K04126,2446,ko01100
K10852,2447,ko01100
K04127,2448,ko01100
K12744,2449,ko01100
K12745,2450,ko01100
K12747,2451,ko01100
K14471,2065,ko01100
"NA",2980,ko01100
K04835,2995,ko01100
K01846,4812,ko01100
K09758,2227,ko01100
K01579,985,ko01100
K01054,2584,ko01100
K05299,1280,ko01100
K14468,2066,ko01100
K12447,2068,ko01100
K16190,2069,ko01100
K01739,2230,ko01100
K00301,5768,ko01100
K00309,2231,ko01100
K00544,2232,ko01100
K14454,2233,ko01100
K00487,1741,ko01100
K00431,4166,ko01100
K00431,4167,ko01100
K00695,5109,ko01100
K11262,1450,ko01100
K00632,1448,ko01100
K01046,2588,ko01100
K07419,2394,ko01100
K07438,2395,ko01100
K00225,1404,ko01100
K00064,2070,ko01100
K10047,2071,ko01100
K14190,2072,ko01100
K10046,2073,ko01100
K01918,978,ko01100
K03472,1985,ko01100
K03473,2954,ko01100
K00831,2955,ko01100
K00097,2956,ko01100
"NA",2957,ko01100
K03474,2958,ko01100
K14454,2421,ko01100
K01610,2422,ko01100
K00051,2423,ko01100
K00692,5110,ko01100
K00857,2452,ko01100
K00758,2453,ko01100
K00207,2454,ko01100
K01464,2455,ko01100
K01431,3003,ko01100
K00157,2589,ko01100
K03336,2074,ko01100
"NA",2982,ko01100
K00128,4781,ko01100
K01608,1975,ko01100
K00042,1976,ko01100
K03339,4074,ko01100
K00864,2999,ko01100
K01917,1972,ko01100
K01833,1974,ko01100
"NA",3004,ko01100
K00801,1969,ko01100
"NA",3749,ko01100
K12409,2038,ko01100
K01107,784,ko01100
K01092,793,ko01100
K06718,2087,ko01100
K01243,2195,ko01100
K23232,4080,ko01100
K15099,4079,ko01100
K20979,4078,ko01100
K00616,3010,ko01100
K00615,3012,ko01100
K00615,3014,ko01100
K01807,3016,ko01100
K01783,3017,ko01100
K00948,3082,ko01100
K00025,4357,ko01100
K01676,4366,ko01100
K00239,5633,ko01100
K01902,4364,ko01100
K00164,4365,ko01100
K00031,4358,ko01100
K01681,4359,ko01100
K01681,4355,ko01100
"NA",3018,ko01100
K01569,3019,ko01100
"NA",3020,ko01100
K01577,3021,ko01100
K22133,3022,ko01100
"NA",3023,ko01100
K01938,1967,ko01100
K00288,1965,ko01100
K00288,1966,ko01100
K01239,5360,ko01100
K01486,1126,ko01100
K01490,5361,ko01100
K00939,5415,ko01100
K01081,1129,ko01100
K01488,1115,ko01100
K03783,5416,ko01100
K00942,5417,ko01100
K01081,5418,ko01100
K03783,1119,ko01100
K00760,5359,ko01100
K01737,5325,ko01100
K00079,5356,ko01100
K00072,5357,ko01100
K00357,5358,ko01100
K03783,5354,ko01100
K01513,1964,ko01100
K00761,3036,ko01100
K13800,3037,ko01100
K01493,3038,ko01100
K01941,3055,ko01100
K01457,3056,ko01100
K00542,1961,ko01100
K01427,3057,ko01100
K01477,1959,ko01100
K18151,1013,ko01100
K00940,3058,ko01100
K00943,3060,ko01100
K01886,3063,ko01100
K09698,4039,ko01100
K02433,3064,ko01100
K11389,5690,ko01100
K01568,3067,ko01100
K00128,3068,ko01100
K13951,3069,ko01100
K00851,3070,ko01100
K05308,4786,ko01100
K00032,3071,ko01100
K11441,3072,ko01100
K06151,3074,ko01100
K01053,3073,ko01100
K18124,3075,ko01100
K21840,3076,ko01100
K11395,3079,ko01100
K11529,3077,ko01100
K03738,3078,ko01100
K00874,4485,ko01100
K01810,3084,ko01100
K01184,3086,ko01100
K01816,49,ko01100
K01858,5596,ko01100
K09838,4379,ko01100
K01681,1944,ko01100
K00186,1783,ko01100
K00186,1784,ko01100
K00601,5476,ko01100
K14454,4044,ko01100
K00814,4483,ko01100
"NA",1926,ko01100
K12447,1940,ko01100
K12446,1941,ko01100
K00999,790,ko01100
K01109,768,ko01100
K00914,770,ko01100
K00923,769,ko01100
K01777,1939,ko01100
K08687,1935,ko01100
K01473,1936,ko01100
K08688,1937,ko01100
K01485,1938,ko01100
K12251,5984,ko01100
K10536,6219,ko01100
K00802,1688,ko01100
K12252,1932,ko01100
K12253,1933,ko01100
K12254,1934,ko01100
K12255,910,ko01100
K12405,6753,ko01100
K12405,6770,ko01100
K08764,6771,ko01100
K08748,6772,ko01100
K01695,1026,ko01100
K12448,1927,ko01100
"NA",1451,ko01100
K00978,133,ko01100
K14424,2390,ko01100
K01824,2389,ko01100
K20144,4081,ko01100
K20618,56,ko01100
"NA",1510,ko01100
K23276,4082,ko01100
K13400,4083,ko01100
K06125,4095,ko01100
K06126,4096,ko01100
K03182,4097,ko01100
K18800,4098,ko01100
K00591,4099,ko01100
"NA",4100,ko01100
K00568,4101,ko01100
K03185,4102,ko01100
K03183,4103,ko01100
K03184,4104,ko01100
K00568,4105,ko01100
K14186,1915,ko01100
K14185,1916,ko01100
K14184,1917,ko01100
K14183,1918,ko01100
K14180,1919,ko01100
K10187,1920,ko01100
K14177,1921,ko01100
K14175,1922,ko01100
K00011,4125,ko01100
K00008,4126,ko01100
K01805,4127,ko01100
K12047,1914,ko01100
K00070,1913,ko01100
K00251,4131,ko01100
K00037,4132,ko01100
K00038,4133,ko01100
K07408,4138,ko01100
K07424,4139,ko01100
K00044,4140,ko01100
K00005,1911,ko01100
K00863,1912,ko01100
K04709,4146,ko01100
K04713,4147,ko01100
K04713,4148,ko01100
K00140,1905,ko01100
K00020,1906,ko01100
K05605,1907,ko01100
K01692,1908,ko01100
K00248,1909,ko01100
K09699,1910,ko01100
K00166,5932,ko01100
K11695,1903,ko01100
K11694,1904,ko01100
K10437,1902,ko01100
K00457,6073,ko01100
K12732,6064,ko01100
K01589,5486,ko01100
K01588,5487,ko01100
K00506,1901,ko01100
K00431,4165,ko01100
"NA",4172,ko01100
"NA",4173,ko01100
K01695,1898,ko01100
K01695,1899,ko01100
K01895,4178,ko01100
"NA",1895,ko01100
"NA",1894,ko01100
K18010,4182,ko01100
K13606,4183,ko01100
K04040,4184,ko01100
K13606,4185,ko01100
"NA",4186,ko01100
K13600,4187,ko01100
K02190,4206,ko01100
K03394,4207,ko01100
K05936,4210,ko01100
K02189,4211,ko01100
K02188,4212,ko01100
K05895,4213,ko01100
K02191,4214,ko01100
K03399,4215,ko01100
K06042,4216,ko01100
K02224,4217,ko01100
K01697,1891,ko01100
"NA",820,ko01100
K15373,1890,ko01100
"NA",1888,ko01100
K00816,4256,ko01100
"NA",2498,ko01100
K01555,1886,ko01100
K04020,1554,ko01100
K18383,4452,ko01100
K18383,861,ko01100
K24276,860,ko01100
"NA",827,ko01100
"NA",4258,ko01100
"NA",1883,ko01100
"NA",1881,ko01100
"NA",4259,ko01100
"NA",1884,ko01100
"NA",1882,ko01100
"NA",1885,ko01100
K14975,1031,ko01100
"NA",4564,ko01100
K01136,4565,ko01100
K01217,4566,ko01100
K01135,4568,ko01100
K01197,4569,ko01100
K01197,4570,ko01100
"NA",4266,ko01100
K01132,4267,ko01100
K01137,4268,ko01100
K12373,4269,ko01100
K12373,4270,ko01100
K07964,4284,ko01100
K01136,1651,ko01100
K01217,1650,ko01100
K01565,4285,ko01100
K10532,4286,ko01100
K01205,4287,ko01100
"NA",4288,ko01100
K01195,4289,ko01100
K01137,4290,ko01100
K12309,663,ko01100
"NA",1880,ko01100
K00704,1877,ko01100
K01190,1878,ko01100
K01706,4315,ko01100
K01707,4316,ko01100
K13876,4317,ko01100
K13875,1874,ko01100
K13874,1875,ko01100
K13873,1876,ko01100
K01915,683,ko01100
K13811,1872,ko01100
K00390,1873,ko01100
K01921,1871,ko01100
K00273,1870,ko01100
K14040,1868,ko01100
"NA",1869,ko01100
K00797,1859,ko01100
K01641,1857,ko01100
K22480,4352,ko01100
K24277,4749,ko01100
"NA",4456,ko01100
K03844,1496,ko01100
K05546,4371,ko01100
K00794,5346,ko01100
K02858,570,ko01100
K20772,4944,ko01100
K05933,4945,ko01100
K08096,5344,ko01100
K14653,5491,ko01100
K14654,5492,ko01100
K14655,5493,ko01100
K00484,1856,ko01100
K04719,1855,ko01100
K06982,1854,ko01100
K09722,747,ko01100
K03639,1092,ko01100
K03637,5345,ko01100
K00694,5124,ko01100
K01225,1853,ko01100
K02291,1852,ko01100
K01705,4472,ko01100
K15783,1851,ko01100
K15784,1850,ko01100
K05822,5954,ko01100
K00841,4617,ko01100
K05823,4616,ko01100
"NA",1849,ko01100
K03340,5868,ko01100
K10206,4624,ko01100
K15398,5186,ko01100
"NA",5184,ko01100
"NA",1848,ko01100
K07436,1846,ko01100
K07436,1847,ko01100
K09011,4479,ko01100
K01703,5877,ko01100
K01703,4480,ko01100
K00052,4481,ko01100
K05898,1840,ko01100
K15982,1841,ko01100
"NA",1842,ko01100
K16047,1843,ko01100
K16049,1844,ko01100
K16050,1845,ko01100
K09023,1839,ko01100
K09021,4493,ko01100
K09020,4494,ko01100
K09018,4495,ko01100
K16066,4502,ko01100
"NA",1838,ko01100
K00697,5122,ko01100
K01087,4505,ko01100
K05342,4506,ko01100
K13057,1576,ko01100
K05343,4607,ko01100
K02293,1832,ko01100
K02293,1833,ko01100
K15744,1834,ko01100
K00514,4403,ko01100
K00514,4404,ko01100
K09835,1835,ko01100
K00446,4625,ko01100
K10217,4660,ko01100
K01617,4512,ko01100
K18365,1830,ko01100
K15232,1829,ko01100
K15234,1827,ko01100
"NA",1826,ko01100
K00013,1825,ko01100
K00011,1818,ko01100
K02773,1819,ko01100
K00094,1820,ko01100
K01635,1817,ko01100
K01631,1821,ko01100
K00883,1813,ko01100
K01684,1822,ko01100
"NA",1422,ko01100
K00035,4603,ko01100
K00850,1823,ko01100
K02786,1814,ko01100
K01220,1815,ko01100
K01819,1816,ko01100
K00688,5105,ko01100
K00130,1811,ko01100
K00499,1812,ko01100
K02821,1808,ko01100
K03476,1809,ko01100
K03078,1810,ko01100
K03079,4776,ko01100
K00652,1802,ko01100
K16593,1803,ko01100
K02170,1804,ko01100
K00208,1805,ko01100
K02372,1806,ko01100
K00059,1807,ko01100
K00647,4550,ko01100
K00059,4549,ko01100
K02372,4548,ko01100
K00208,4547,ko01100
K00647,4544,ko01100
K08351,1801,ko01100
K02169,4557,ko01100
K01794,4561,ko01100
K01737,147,ko01100
K06879,5499,ko01100
K06920,5498,ko01100
K10026,5497,ko01100
K11816,4581,ko01100
K16904,1800,ko01100
K08094,4583,ko01100
K17738,1798,ko01100
K00007,1799,ko01100
K15038,1795,ko01100
K00043,1796,ko01100
K14466,1794,ko01100
K14534,1246,ko01100
K11395,1194,ko01100
K01785,4589,ko01100
K01483,1159,ko01100
K18202,1792,ko01100
K18201,1793,ko01100
K18076,6780,ko01100
K18074,4593,ko01100
K18106,1788,ko01100
K18102,1789,ko01100
K18103,1790,ko01100
K18107,1791,ko01100
K17222,4598,ko01100
K07173,1787,ko01100
K14286,1786,ko01100
K03735,1785,ko01100
K14976,5862,ko01100
"NA",1034,ko01100
K09880,4666,ko01100
K18310,1781,ko01100
K18309,1780,ko01100
K18311,1779,ko01100
K18311,1778,ko01100
K18366,1777,ko01100
K03147,1135,ko01100
K00877,1754,ko01100
K00788,1755,ko01100
K00946,1757,ko01100
K00939,1758,ko01100
K01077,1759,ko01100
"NA",1752,ko01100
"NA",1753,ko01100
K03707,1760,ko01100
K00877,1762,ko01100
K00878,1763,ko01100
K18278,1765,ko01100
K00949,1764,ko01100
K00788,1766,ko01100
K10810,1768,ko01100
K03149,1769,ko01100
K03151,1772,ko01100
K03151,1773,ko01100
K03148,1774,ko01100
K04487,1704,ko01100
K03150,1775,ko01100
K03153,982,ko01100
"NA",1751,ko01100
K18385,214,ko01100
K18386,1748,ko01100
K18387,1747,ko01100
K18386,1749,ko01100
K18387,1750,ko01100
K14594,1733,ko01100
"NA",1734,ko01100
K14594,1735,ko01100
K15745,1739,ko01100
K17841,1736,ko01100
K17842,1737,ko01100
K17819,1738,ko01100
K09844,1732,ko01100
K09846,4718,ko01100
K09844,4719,ko01100
K09846,4720,ko01100
K09845,4721,ko01100
K09846,4722,ko01100
K09844,4723,ko01100
K09845,4724,ko01100
K09846,4725,ko01100
K09847,4726,ko01100
K09847,4727,ko01100
K09844,1725,ko01100
K09845,1726,ko01100
K09846,1727,ko01100
K09847,1728,ko01100
K09844,1528,ko01100
K09847,1729,ko01100
K09844,1730,ko01100
K09846,1731,ko01100
K13065,1721,ko01100
K09754,1722,ko01100
K13065,1723,ko01100
K18368,1720,ko01100
K13064,1718,ko01100
K09840,4753,ko01100
K07437,1715,ko01100
K03783,4756,ko01100
K10524,4757,ko01100
K06210,4758,ko01100
K03462,4759,ko01100
K03783,4760,ko01100
K10524,4761,ko01100
K00668,1714,ko01100
K00648,1713,ko01100
K01071,1710,ko01100
K01071,1707,ko01100
K21791,1708,ko01100
K00665,1709,ko01100
K01837,1701,ko01100
K01837,1702,ko01100
K03103,1703,ko01100
K08322,4780,ko01100
K19002,1700,ko01100
K13677,4789,ko01100
K19005,4790,ko01100
"NA",4791,ko01100
"NA",4793,ko01100
K13035,1696,ko01100
K13034,1697,ko01100
K06041,1695,ko01100
K19412,4804,ko01100
K05828,4805,ko01100
K05829,4806,ko01100
K05830,4807,ko01100
K05831,4932,ko01100
K09065,4815,ko01100
K01438,4817,ko01100
K05526,1694,ko01100
K06447,4820,ko01100
K00840,4821,ko01100
K01484,4822,ko01100
K00673,4823,ko01100
K11182,1686,ko01100
K00128,1692,ko01100
K13746,1687,ko01100
K13747,1689,ko01100
K00281,1685,ko01100
"NA",1684,ko01100
K00844,1674,ko01100
K15855,1675,ko01100
K01233,1676,ko01100
K01452,1677,ko01100
K01183,1678,ko01100
K01207,1679,ko01100
K00884,1680,ko01100
K01836,1681,ko01100
K00992,1682,ko01100
K07102,1683,ko01100
K07106,5540,ko01100
K13060,6008,ko01100
K12960,1672,ko01100
K19696,1673,ko01100
K00826,1028,ko01100
K11204,1670,ko01100
K21456,1671,ko01100
"NA",5951,ko01100
K00925,1668,ko01100
K13788,1666,ko01100
K00824,1664,ko01100
"NA",1665,ko01100
K19744,1663,ko01100
K06131,1662,ko01100
K18687,4952,ko01100
"NA",1661,ko01100
"NA",1660,ko01100
K09828,1658,ko01100
K09832,1659,ko01100
K03800,1657,ko01100
K12235,1652,ko01100
K03714,1503,ko01100
K00753,1637,ko01100
K00717,1641,ko01100
K14434,1642,ko01100
K14459,1643,ko01100
K14464,1644,ko01100
K00753,1645,ko01100
K20730,1646,ko01100
"NA",4978,ko01100
K01179,4976,ko01100
K01188,4977,ko01100
K01188,4979,ko01100
K00702,1636,ko01100
K01176,1634,ko01100
K01214,1635,ko01100
K06044,1632,ko01100
K01236,1633,ko01100
K00693,5104,ko01100
K16146,1627,ko01100
K16147,1628,ko01100
"NA",1624,ko01100
K20895,1625,ko01100
K03707,1626,ko01100
K03635,5506,ko01100
K03831,5507,ko01100
K03750,5508,ko01100
K01988,1622,ko01100
K00719,1623,ko01100
K01988,1619,ko01100
K00719,1620,ko01100
K01988,1621,ko01100
K21680,1618,ko01100
K21030,63,ko01100
K18207,1604,ko01100
K09654,1605,ko01100
K17547,1606,ko01100
K19873,1607,ko01100
K21052,1600,ko01100
K21032,1608,ko01100
K09668,1609,ko01100
K09668,1610,ko01100
K09666,1611,ko01100
K09661,1603,ko01100
K00968,1596,ko01100
K00994,1597,ko01100
K00231,1592,ko01100
K01772,1593,ko01100
K00435,1594,ko01100
"NA",5191,ko01100
K01599,5192,ko01100
"NA",5199,ko01100
K00798,1588,ko01100
"NA",1589,ko01100
"NA",1590,ko01100
"NA",1591,ko01100
K02257,1586,ko01100
K02259,1587,ko01100
"NA",1581,ko01100
K00510,1582,ko01100
K00214,1583,ko01100
K00699,1030,ko01100
K01195,1584,ko01100
"NA",1585,ko01100
K12047,1579,ko01100
K16148,1160,ko01100
K05901,5342,ko01100
K00484,5343,ko01100
K05301,5865,ko01100
K21925,5038,ko01100
"NA",1574,ko01100
K03752,5340,ko01100
K05363,1570,ko01100
K12554,1571,ko01100
K03391,1569,ko01100
K21619,1568,ko01100
K17488,5336,ko01100
K17487,5337,ko01100
K22100,5339,ko01100
"NA",5324,ko01100
K17487,5322,ko01100
K22101,5321,ko01100
K17745,5326,ko01100
K00072,5328,ko01100
"NA",5329,ko01100
K00079,5330,ko01100
K00287,5327,ko01100
K04119,5331,ko01100
K00011,5332,ko01100
K01724,5333,ko01100
"NA",5334,ko01100
K00500,5335,ko01100
K08310,5323,ko01100
K00681,1562,ko01100
K00682,1563,ko01100
K01469,682,ko01100
K00682,1564,ko01100
K07232,1566,ko01100
K01127,5054,ko01100
K09905,1561,ko01100
K20736,1558,ko01100
K00719,1559,ko01100
K00722,1560,ko01100
K08256,1553,ko01100
K13668,1546,ko01100
K22311,1547,ko01100
K13668,1541,ko01100
K22311,1548,ko01100
K14335,1542,ko01100
K13669,1544,ko01100
K00632,1552,ko01100
K22842,1540,ko01100
K12339,1538,ko01100
"NA",997,ko01100
"NA",1539,ko01100
K10011,1533,ko01100
K07806,1534,ko01100
K10011,1535,ko01100
K10012,1536,ko01100
K13014,1537,ko01100
K10247,1529,ko01100
K10251,1530,ko01100
K10703,1531,ko01100
K10258,1532,ko01100
K02851,1518,ko01100
K16870,1520,ko01100
K16649,1521,ko01100
K16649,1522,ko01100
K16650,1523,ko01100
K00844,763,ko01100
"NA",1388,ko01100
K01835,762,ko01100
K00844,1517,ko01100
K01810,1516,ko01100
K07431,1513,ko01100
K00921,776,ko01100
K01108,777,ko01100
K00920,778,ko01100
K00922,764,ko01100
K03084,765,ko01100
K21374,1511,ko01100
K23007,1509,ko01100
"NA",5240,ko01100
K23095,5241,ko01100
K10106,5235,ko01100
K05357,5236,ko01100
K00355,5251,ko01100
K10106,5237,ko01100
K05357,5238,ko01100
K00355,5239,ko01100
K05603,6071,ko01100
K01458,1488,ko01100
K22539,1484,ko01100
K01730,1485,ko01100
K01815,1486,ko01100
K00065,1487,ko01100
K00848,1482,ko01100
K01629,1483,ko01100
K13877,1245,ko01100
K22185,1478,ko01100
K14274,1479,ko01100
K14275,1480,ko01100
K14259,1481,ko01100
K22397,1477,ko01100
K00064,1463,ko01100
K07046,1464,ko01100
K18334,1465,ko01100
K18335,1466,ko01100
K21883,1467,ko01100
K12661,1468,ko01100
K18338,1469,ko01100
K18337,1470,ko01100
"NA",1471,ko01100
K01813,1472,ko01100
K00848,1473,ko01100
K01629,1462,ko01100
K18337,1474,ko01100
K01818,1475,ko01100
K00879,1476,ko01100
K01628,1461,ko01100
K12660,1314,ko01100
K00882,1460,ko01100
"NA",1456,ko01100
"NA",1457,ko01100
"NA",1458,ko01100
K01218,1459,ko01100
K00007,1453,ko01100
K02798,1454,ko01100
K00009,1455,ko01100
K17195,1445,ko01100
K01808,1443,ko01100
K00881,1444,ko01100
K08261,1442,ko01100
K18336,1316,ko01100
"NA",1439,ko01100
"NA",1440,ko01100
K14634,1441,ko01100
K02812,1436,ko01100
K19956,1437,ko01100
K02781,1162,ko01100
K00068,1438,ko01100
K00066,1432,ko01100
K19290,1433,ko01100
K01795,1434,ko01100
K01729,1435,ko01100
K05947,1431,ko01100
K07026,1428,ko01100
K18818,1427,ko01100
"NA",1426,ko01100
K00880,1425,ko01100
K00880,1424,ko01100
K04618,1423,ko01100
K18819,1421,ko01100
K06617,1417,ko01100
K06611,1418,ko01100
K01193,1419,ko01100
K01189,1420,ko01100
K01189,1416,ko01100
K01193,1414,ko01100
K01189,1415,ko01100
K21620,1412,ko01100
K21621,1413,ko01100
K21622,1411,ko01100
K02082,135,ko01100
K02744,1408,ko01100
K02079,1409,ko01100
K02744,1410,ko01100
K23003,1405,ko01100
K23004,1406,ko01100
"NA",1407,ko01100
K00880,1401,ko01100
K08092,1402,ko01100
"NA",1403,ko01100
K00699,1400,ko01100
"NA",1399,ko01100
K18983,1394,ko01100
K01708,1395,ko01100
K18982,1397,ko01100
K18981,1398,ko01100
K01630,1244,ko01100
K01706,1393,ko01100
K01630,1243,ko01100
"NA",1386,ko01100
"NA",1387,ko01100
K10046,1391,ko01100
K10046,1392,ko01100
K01208,1389,ko01100
K00701,1390,ko01100
K13057,1385,ko01100
K01232,1384,ko01100
K01232,665,ko01100
K06896,136,ko01100
K11809,1383,ko01100
K05341,1382,ko01100
K00690,1381,ko01100
K00706,1379,ko01100
K01199,1380,ko01100
"NA",1377,ko01100
K01188,1378,ko01100
"NA",1376,ko01100
K01443,5539,ko01100
K01183,5533,ko01100
K18675,1375,ko01100
K01788,1374,ko01100
K01654,5536,ko01100
K01787,1373,ko01100
K22292,1372,ko01100
K07102,1371,ko01100
K00698,1370,ko01100
K02472,1368,ko01100
K02474,1361,ko01100
K22925,1362,ko01100
K13015,1363,ko01100
K13016,1364,ko01100
K13017,1365,ko01100
K13018,1366,ko01100
K13019,1367,ko01100
K15894,1359,ko01100
K15912,1360,ko01100
K15895,1349,ko01100
K15896,1350,ko01100
K15897,1351,ko01100
K15898,1352,ko01100
K15899,1353,ko01100
K15910,1354,ko01100
K15913,1355,ko01100
K18429,1356,ko01100
K18430,1357,ko01100
K18431,1358,ko01100
K01209,1348,ko01100
"NA",5565,ko01100
K13379,5566,ko01100
K12450,1345,ko01100
K12451,1346,ko01100
K12451,1347,ko01100
"NA",1344,ko01100
K18677,1342,ko01100
"NA",1343,ko01100
K13648,1341,ko01100
K01854,1340,ko01100
K01709,1333,ko01100
K12452,1334,ko01100
K12453,1335,ko01100
K12454,1336,ko01100
K12455,1337,ko01100
K15857,1338,ko01100
K15858,1339,ko01100
K13010,1331,ko01100
K17939,1332,ko01100
K12449,1330,ko01100
K06118,1329,ko01100
K00915,775,ko01100
K00915,771,ko01100
K01093,772,ko01100
K01083,773,ko01100
K00913,774,ko01100
K00469,1328,ko01100
K06606,1325,ko01100
K00010,1326,ko01100
K16043,1327,ko01100
K22231,1322,ko01100
K22232,1323,ko01100
K22233,1324,ko01100
K01114,5594,ko01100
K01092,792,ko01100
K01108,1321,ko01100
K01067,1320,ko01100
K01895,1319,ko01100
K01895,1301,ko01100
K00467,1318,ko01100
"NA",1317,ko01100
K22212,1315,ko01100
K07248,1313,ko01100
K07248,1303,ko01100
K17741,1311,ko01100
K00049,1306,ko01100
K01759,1307,ko01100
K01069,1309,ko01100
"NA",1308,ko01100
K22373,1310,ko01100
K05523,1305,ko01100
K03778,1304,ko01100
